"Country","Method","Energy.type","Last.stage","Year","Ledger.side","Flow.aggregation.point","Flow","Product","Unit","E.dot"
"CUB","PCM","E","Final",1997,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-35782.2392
"CUB","PCM","E","Final",1998,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",568.7935
"CUB","PCM","E","Final",1998,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",646.354
"CUB","PCM","E","Final",1998,"Consumption","Other","Residential","Biogasoline","TJ",36195.9076
"CUB","PCM","E","Final",1998,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",7730.4112
"CUB","PCM","E","Final",1998,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",29680.6439
"CUB","PCM","E","Final",1998,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",29680.6439
"CUB","PCM","E","Final",1998,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-29680.6439
"CUB","PCM","E","Final",1999,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",258.5433
"CUB","PCM","E","Final",1999,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",284.3968
"CUB","PCM","E","Final",1999,"Consumption","Other","Residential","Biogasoline","TJ",35549.5494
"CUB","PCM","E","Final",1999,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",7135.7643
"CUB","PCM","E","Final",1999,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",28956.7252
"CUB","PCM","E","Final",1999,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",28956.7252
"CUB","PCM","E","Final",1999,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-28956.7252
"CUB","PCM","E","Final",2000,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",258.5433
"CUB","PCM","E","Final",2000,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",517.0824
"CUB","PCM","E","Final",2000,"Consumption","Other","Residential","Biogasoline","TJ",35394.4243
"CUB","PCM","E","Final",2000,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",2249.31649999999
"CUB","PCM","E","Final",2000,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",33920.7335
"CUB","PCM","E","Final",2000,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",33920.7335
"CUB","PCM","E","Final",2000,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-33920.7335
"CUB","PCM","E","Final",2001,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",232.6898
"CUB","PCM","E","Final",2001,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",361.9572
"CUB","PCM","E","Final",2001,"Consumption","Other","Residential","Biogasoline","TJ",34024.1516
"CUB","PCM","E","Final",2001,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",1447.83729999999
"CUB","PCM","E","Final",2001,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",33170.9613
"CUB","PCM","E","Final",2001,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",33170.9613
"CUB","PCM","E","Final",2001,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-33170.9613
"CUB","PCM","E","Final",2002,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",284.3968
"CUB","PCM","E","Final",2002,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",1085.8759
"CUB","PCM","E","Final",2002,"Consumption","Other","Residential","Biogasoline","TJ",31490.4384
"CUB","PCM","E","Final",2002,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",387.810800000002
"CUB","PCM","E","Final",2002,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",32472.9003
"CUB","PCM","E","Final",2002,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",32472.9003
"CUB","PCM","E","Final",2002,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-32472.9003
"CUB","PCM","E","Final",2003,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",284.3968
"CUB","PCM","E","Final",2003,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",904.8973
"CUB","PCM","E","Final",2003,"Consumption","Other","Residential","Biogasoline","TJ",32188.5036
"CUB","PCM","E","Final",2003,"Supply","TFC compare","Statistical differences","Biogasoline","TJ",1060.0225
"CUB","PCM","E","Final",2003,"Supply","Total primary energy supply","Resources [of Biogasoline]","Biogasoline [from Resources]","TJ",32317.7752
"CUB","PCM","E","Final",2003,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline","TJ",32317.7752
"CUB","PCM","E","Final",2003,"Supply","Transformation processes","Manufacture [of Biogasoline]","Biogasoline [from Resources]","TJ",-32317.7752
"CUB","PCM","E","Final",2004,"Consumption","Industry","Industry not elsewhere specified","Biogasoline","TJ",284.3968
"CUB","PCM","E","Final",2004,"Consumption","Other","Final consumption not elsewhere specified","Biogasoline","TJ",775.6256
"CUB","PCM","E","Final",2004,"Consumption","Other","Residential","Biogasoline","TJ",31464.5849
